,index,sample_size_method,num_trees,max_depth,feat_choice,fold_num,auc
294,4,half,100,3000,half_sqrt,5,0.660084339107476
295,0,half,100,3000,2sqrt,1,0.7056260418814442
296,1,half,100,3000,2sqrt,2,0.7188136212200383
297,2,half,100,3000,2sqrt,3,0.7174841112977638
298,3,half,100,3000,2sqrt,4,0.7001265714878729
299,4,half,100,3000,2sqrt,5,0.7189306490135837
300,0,half,300,100,sqrt,1,0.6880437660956785
301,1,half,300,100,sqrt,2,0.6975082295937911
302,2,half,300,100,sqrt,3,0.7111671387662764
303,3,half,300,100,sqrt,4,0.6940872600313758
304,4,half,300,100,sqrt,5,0.7136142152266474
305,0,half,300,100,half_sqrt,1,0.6409440709281218
306,1,half,300,100,half_sqrt,2,0.6700262208283598
307,2,half,300,100,half_sqrt,3,0.6771227545495482
308,3,half,300,100,half_sqrt,4,0.6507245430083614
309,4,half,300,100,half_sqrt,5,0.6830439945076615
310,0,half,300,100,2sqrt,1,0.7436186656640347
311,1,half,300,100,2sqrt,2,0.7253817146865276
312,2,half,300,100,2sqrt,3,0.7287556439609449
313,3,half,300,100,2sqrt,4,0.714906736709741
314,4,half,300,100,2sqrt,5,0.7265451729263338
315,0,half,300,500,sqrt,1,0.6880437660956785
316,1,half,300,500,sqrt,2,0.6975082295937911
317,2,half,300,500,sqrt,3,0.7111671387662764
318,3,half,300,500,sqrt,4,0.6940872600313758
319,4,half,300,500,sqrt,5,0.7136142152266474
320,0,half,300,500,half_sqrt,1,0.6409440709281218
321,1,half,300,500,half_sqrt,2,0.6700262208283598
322,2,half,300,500,half_sqrt,3,0.6771227545495482
323,3,half,300,500,half_sqrt,4,0.6507245430083614
324,4,half,300,500,half_sqrt,5,0.6830439945076615
325,0,half,300,500,2sqrt,1,0.7436186656640347
326,1,half,300,500,2sqrt,2,0.7253817146865276
327,2,half,300,500,2sqrt,3,0.7287556439609449
328,3,half,300,500,2sqrt,4,0.714906736709741
329,4,half,300,500,2sqrt,5,0.7265451729263338
330,0,half,300,1000,sqrt,1,0.6880437660956785
331,1,half,300,1000,sqrt,2,0.6975082295937911
332,2,half,300,1000,sqrt,3,0.7111671387662764
333,3,half,300,1000,sqrt,4,0.6940872600313758
