,threshold,tpr,fpr,accuracy,f1-measure,precision,recall,learning_rate
9,0.09,1.0,0.9999179184109004,0.11274581209031319,0.20253993191935063,0.11268118581105689,1.0,0.1
10,0.1,1.0,0.9995895920545022,0.11303714493809176,0.2025929806181247,0.11271402550091075,1.0,0.1
11,0.11,1.0,0.9966346548469178,0.11565914056809905,0.20307167235494877,0.11301044634377967,1.0,0.1
12,0.12,1.0,0.9891652302388574,0.12228696285506191,0.20429184549356222,0.11376673040152964,1.0,0.1
13,0.13,0.9993535875888817,0.9765246655175244,0.13343044428259287,0.20627084723148764,0.1150040913486573,0.9993535875888817,0.1
14,0.14,0.9993535875888817,0.9617499794796027,0.14654042243262927,0.2087778528021607,0.11656487974063183,0.9993535875888817,0.1
15,0.15,0.9993535875888817,0.9406550110810146,0.16525855790240349,0.21246478389335532,0.11886821467015224,0.9993535875888817,0.1
16,0.16,0.9993535875888817,0.9180825740786341,0.18528769118718136,0.21655694074800394,0.12143586521090252,0.9993535875888817,0.1
17,0.17,0.9993535875888817,0.8903389969629812,0.20990531682447197,0.2218077474892396,0.12474784152344065,0.9993535875888817,0.1
18,0.18,0.9993535875888817,0.8631699909710252,0.23401310997815003,0.2272025865236241,0.12817111590117725,0.9993535875888817,0.1
19,0.19,0.9993535875888817,0.8344414347861775,0.2595047341587764,0.23320009050456292,0.13200136612021857,0.9993535875888817,0.1
20,0.2,0.9993535875888817,0.8058770417795289,0.2848506919155135,0.23948570985980952,0.1360436466033087,0.9993535875888817,0.1
21,0.21,0.9993535875888817,0.7790363621439711,0.30866715222141294,0.2457088366179275,0.14007429555132736,0.9993535875888817,0.1
22,0.22,0.9980607627666451,0.7536731511122056,0.3310269482884195,0.2516092234987371,0.14394928211821742,0.9980607627666451,0.1
23,0.23,0.9980607627666451,0.729048674382336,0.3528769118718135,0.25791363902113085,0.14809131018607327,0.9980607627666451,0.1
24,0.24,0.9980607627666451,0.7092670114093409,0.3704297159504734,0.2632117286055234,0.15159548355424643,0.9980607627666451,0.1
25,0.25,0.9980607627666451,0.6903061643273414,0.3872541879096868,0.2684983914442222,0.1551135222021298,0.9980607627666451,0.1
26,0.26,0.9967679379444085,0.6684724616268571,0.40648215586307357,0.2745482061782249,0.1591988436919265,0.9967679379444085,0.1
27,0.27,0.9948287007110537,0.6455716982680785,0.4265841223597961,0.28107022189754366,0.16365376435559337,0.9948287007110537,0.1
28,0.28,0.9922430510665805,0.6218501190183042,0.4473415877640204,0.28804653781197226,0.1684776643617605,0.9922430510665805,0.1
29,0.29,0.9896574014221073,0.5988672740704261,0.4674435542607429,0.29516097937150565,0.17344511158944148,0.9896574014221073,0.1
30,0.3,0.9877181641887525,0.572272839202167,0.4908230152949745,0.30417039912411664,0.17976470588235294,0.9877181641887525,0.1
